date,gate,strike_mode,side,skipped,skip_reason,entry_ts,spot_entry,call_strike,put_strike,target_call_K,chosen_call_K,call_gap,target_put_K,chosen_put_K,put_gap,strike_ok,strikes_available,call_mark,put_mark,call_fill,put_fill,qty,entry_fee,entry_slip_cost,exit_fee,exit_slip_cost,settle_ts,settle_spot,settle_hhmm,call_payoff,put_payoff,settlement_pay,premium_pnl,gross_pnl,net_pnl,sig,sig_decile,threshold,premium_target_pct,target_delta,prev_rvol,overnight,overnight_move_pct,gate_decision
2026-05-01,switch,points,sell,0,,1777606200,77204.5000,79000,75200,79200,79000,200,75200,75200,0,1,1,11.174748,7.645128,10.541852,7.212136,100,0.073324,0.106589,0.000000,0.000000,1777636800,77415.5000,17:30,0.000000,0.000000,0.000000,1.775399,1.775399,1.702075,0.433333,5,0.9000,0.034000,0.1200,0.00036804,0.01540778,1.540778,sell
2026-05-04,switch,points,sell,0,,1777865400,80058.0000,81800,78000,82000,81800,200,78000,78000,0,1,1,45.498120,31.874139,42.921274,30.068905,100,0.301449,0.438208,0.000000,0.000000,1777896000,78710.0000,17:30,0.000000,0.000000,0.000000,7.299018,7.299018,6.997568,0.380435,4,0.9000,0.034000,0.1200,0.00023045,0.01829051,1.829051,sell
2026-05-05,switch,points,sell,0,,1777951800,80740.0000,82400,78800,82800,82400,400,78800,78800,0,1,1,14.482179,11.607380,13.661961,10.949980,100,0.101647,0.147762,0.000000,0.000000,1777982400,80935.5000,17:30,0.000000,0.000000,0.000000,2.461194,2.461194,2.359547,0.808511,9,0.9000,0.034000,0.1200,0.00058278,0.02521777,2.521777,sell
2026-05-06,switch,points,sell,0,,1778038200,81554.5000,83200,79600,83600,83200,400,79600,79600,0,1,1,8.483788,4.490857,8.003297,4.236511,100,0.050550,0.073484,0.000000,0.000000,1778068800,82504.5000,17:30,0.000000,0.000000,0.000000,1.223981,1.223981,1.173430,0.270833,3,0.9000,0.034000,0.1200,0.00036829,0.00717519,0.717519,sell
2026-05-07,switch,points,sell,0,,1778124600,80899.5000,82800,78800,82800,82800,0,78800,78800,0,1,1,7.600318,2.259095,7.169864,2.131149,100,0.038413,0.055840,0.000000,0.000000,1778155200,80827.5000,17:30,0.000000,0.000000,0.000000,0.930101,0.930101,0.891688,0.591837,6,0.9000,0.034000,0.1200,0.00044292,0.01922762,1.922762,sell
2026-05-08,switch,points,sell,0,,1778211000,79566.0000,81600,77500,81600,81600,0,77600,77500,100,1,1,8.634636,5.882760,8.145602,5.549582,100,0.056561,0.082221,0.000000,0.000000,1778241600,80206.0000,17:30,0.000000,0.000000,0.000000,1.369518,1.369518,1.312957,0.450000,5,0.9000,0.034000,0.1200,0.00037443,0.01560731,1.560731,sell
2026-05-11,switch,points,sell,0,,1778470200,80580.5000,82600,78400,82600,82600,0,78600,78400,200,1,1,24.860323,14.447619,23.452326,13.629359,100,0.153147,0.222626,0.000000,0.000000,1778500800,81180.5000,17:30,0.000000,0.000000,0.000000,3.708168,3.708168,3.555021,0.058824,1,0.9000,0.034000,0.1200,0.00019844,0.00251289,0.251289,sell
2026-05-12,switch,points,sell,0,,1778556600,81145.0000,83200,79400,83200,83200,0,79200,79400,200,1,1,3.475799,5.039456,3.278943,4.754039,100,0.033176,0.048227,0.000000,0.000000,1778587200,80752.5000,17:30,0.000000,0.000000,0.000000,0.803298,0.803298,0.770122,0.076923,1,0.9000,0.034000,0.1200,0.00031806,0.00028952,0.028952,sell
2026-05-13,switch,points,sell,0,,1778643000,81060.5000,83000,79000,83000,83000,0,79000,79000,0,1,1,1.765287,1.623414,1.665308,1.531470,100,0.013203,0.019192,0.000000,0.000000,1778673600,80458.5000,17:30,0.000000,0.000000,0.000000,0.319678,0.319678,0.306475,0.132075,2,0.9000,0.034000,0.1200,0.00029139,0.00393223,0.393223,sell
2026-05-14,switch,points,sell,0,,1778729400,79279.0000,81200,77200,81200,81200,0,77200,77200,0,1,1,6.658590,3.265410,6.281472,3.080469,100,0.038665,0.056206,0.000000,0.000000,1778760000,79211.0000,17:30,0.000000,0.000000,0.000000,0.936194,0.936194,0.897529,0.351852,4,0.9000,0.034000,0.1200,0.00026485,0.01468422,1.468422,sell
2026-05-15,switch,points,sell,0,,1778815800,81161.5000,83200,79200,83200,83200,0,79200,79200,0,1,1,6.755942,8.229976,6.373310,7.763861,100,0.058387,0.084875,0.000000,0.000000,1778846400,80597.5000,17:30,0.000000,0.000000,0.000000,1.413717,1.413717,1.355331,0.545455,6,0.9000,0.034000,0.1200,0.00034861,0.02454650,2.454650,sell
2026-05-18,switch,points,sell,1,STRIKE_UNAVAILABLE,1779075000,76869.5000,78800,75600,78800,78800,0,74800,75600,800,0,0,0.000000,0.000000,0.000000,0.000000,100,0.000000,0.000000,0.000000,0.000000,0,0.0000,00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410714,5,0.9000,0.034000,0.1200,0.00023369,0.01917765,1.917765,sell
2026-05-19,switch,points,sell,0,,1779161400,76761.0000,78800,74800,78800,78800,0,74800,74800,0,1,1,2.922863,4.452508,2.757323,4.200335,100,0.028735,0.041771,0.000000,0.000000,1779192000,76641.5000,17:30,0.000000,0.000000,0.000000,0.695766,0.695766,0.667031,0.342105,4,0.9000,0.034000,0.1200,0.00041579,0.00641370,0.641370,sell
2026-05-20,switch,points,sell,0,,1779247800,76722.0000,78800,74800,78800,78800,0,74800,74800,0,1,1,0.983925,2.625349,0.928199,2.476659,100,0.014062,0.020442,0.000000,0.000000,1779278400,77335.0000,17:30,0.000000,0.000000,0.000000,0.340486,0.340486,0.326424,0.189655,2,0.9000,0.034000,0.1200,0.00037558,0.00058035,0.058035,sell
2026-05-21,switch,points,sell,0,,1779334200,78000.0000,80000,76000,80000,80000,0,76000,76000,0,1,1,1.870726,1.532526,1.764775,1.445730,100,0.013259,0.019275,0.000000,0.000000,1779364800,77195.5000,17:30,0.000000,0.000000,0.000000,0.321050,0.321050,0.307791,0.288136,3,0.9000,0.034000,0.1200,0.00032960,0.00837077,0.837077,sell
2026-05-22,switch,points,sell,0,,1779420600,77720.5000,80000,75800,79800,80000,200,75800,75800,0,1,1,0.802350,1.881671,0.756908,1.775100,100,0.010457,0.015201,0.000000,0.000000,1779451200,77365.5000,17:30,0.000000,0.000000,0.000000,0.253201,0.253201,0.242744,0.391667,4,0.9000,0.034000,0.1200,0.00040892,0.00729676,0.729676,sell
2026-05-25,switch,points,sell,0,,1779679800,77047.5000,78800,75000,79000,78800,200,75000,75000,0,1,1,6.725626,5.203475,6.344711,4.908769,100,0.046477,0.067562,0.000000,0.000000,1779710400,77320.0000,17:30,0.000000,0.000000,0.000000,1.125348,1.125348,1.078871,0.155738,2,0.9000,0.034000,0.1200,0.00032327,0.00313109,0.313109,sell
2026-05-26,switch,points,sell,0,,1779766200,76534.0000,78600,74600,78600,78600,0,74600,74600,0,1,1,3.222627,3.084093,3.040109,2.909421,100,0.024572,0.035719,0.000000,0.000000,1779796800,77154.5000,17:30,0.000000,0.000000,0.000000,0.594953,0.594953,0.570381,0.314516,4,0.9000,0.034000,0.1200,0.00030870,0.01014634,1.014634,sell
2026-05-27,switch,points,sell,0,,1779852600,75826.5000,77800,74000,77800,77800,0,73800,74000,200,1,1,1.972840,2.154860,1.861106,2.032817,100,0.016082,0.023378,0.000000,0.000000,1779883200,75734.0000,17:30,0.000000,0.000000,0.000000,0.389392,0.389392,0.373310,0.492063,5,0.9000,0.034000,0.1200,0.00034694,0.01721859,1.721859,sell
2026-05-28,switch,points,sell,1,STRIKE_UNAVAILABLE,1779939000,73668.5000,75600,72800,75600,75600,0,71600,72800,1200,0,0,0.000000,0.000000,0.000000,0.000000,100,0.000000,0.000000,0.000000,0.000000,0,0.0000,00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.546875,6,0.9000,0.034000,0.1200,0.00031829,0.02733730,2.733730,sell
